Mass,(B _ V ),age 1,age 2,age 3,age 4,age 5,age 6,age 7,age 8,age 9,age 10,age 11,age 12,age 13,age 14,age 15,age 16,age 17
0,0,0.1,0.12,0.15,0.2,0.22,0.25,0.3,0.4,0.5,0.6,0.7,1,1.5,2,2.5,4,4.57
0.45,1.477,9.69,9.76,10.96,14.87,15.95,17.09,18.24,19.99,21.54,22.92,24.18,27.2,29.87,31.13,31.89,33.36,34.4
0.5,1.44,9.08,9.28,11.83,14.43,14.99,15.63,16.5,17.8,18.76,19.53,20.19,21.68,23.2,24.66,26.12,30.53,32.41
0.55,1.39,8.4,9.92,11.54,12.43,12.76,13.24,14,15.3,16.18,16.69,17.04,17.92,19.47,21.27,23.26,29.81,32.71
0.6,1.338,8.26,9.65,10.38,11.25,11.5,11.84,12.28,12.94,13.43,13.88,14.3,15.61,17.86,20.2,22.62,30.29,33.25
0.65,1.277,8.18,8.6,9.25,9.97,10.16,10.39,10.71,11.22,11.68,12.15,12.62,14.12,16.77,19.62,22.62,31.5,34.71
0.7,1.186,7.38,7.89,8.38,8.84,8.96,9.12,9.38,9.87,10.4,10.92,11.46,13.2,16.29,19.5,22.77,31.96,35.12
0.75,1.072,6.73,7.15,7.51,7.87,7.97,8.12,8.39,8.92,9.49,10.1,10.72,12.69,16.13,19.55,22.86,31.74,34.66
0.8,0.961,6.19,6.43,6.64,6.94,7.06,7.24,7.56,8.19,8.86,9.55,10.25,12.42,16.05,19.5,22.69,31.02,33.76
0.85,0.867,5.65,5.79,5.98,6.29,6.41,6.61,6.95,7.66,8.39,9.14,9.9,12.18,15.85,19.22,22.26,30.02,32.58
0.9,0.787,5.14,5.31,5.5,5.82,5.95,6.15,6.5,7.22,7.97,8.73,9.52,11.83,15.41,18.6,21.45,28.7,31.1
0.95,0.718,4.67,4.81,5.01,5.36,5.51,5.73,6.11,6.87,7.64,8.41,9.19,11.42,14.79,17.75,20.4,27.15,29.39
1,0.661,4.33,4.45,4.64,4.98,5.12,5.33,5.7,6.45,7.21,7.95,8.69,10.79,13.91,16.64,19.06,25.24,27.33
1.05,0.609,3.99,4.1,4.29,4.62,4.75,4.96,5.31,5.99,6.69,7.36,8.02,9.91,12.7,15.14,17.31,22.94,24.91
1.1,0.564,3.67,3.78,3.96,4.25,4.36,4.53,4.82,5.4,5.99,6.56,7.13,8.74,11.12,13.19,15.03,20.03,22.02
1.15,0.523,3.35,3.45,3.58,3.81,3.9,4.05,4.28,4.74,5.2,5.63,6.07,7.29,9.11,10.72,12.19,16.68,18.78
1.2,0.484,3.01,3.09,3.21,3.4,3.46,3.55,3.69,3.94,4.18,4.44,4.69,5.44,6.62,7.69,8.74,13.73,15
1.25,0.448,2.76,2.77,2.78,2.82,2.83,2.86,2.89,2.97,3.04,3.11,3.18,3.35,3.58,3.94,4.69,10.87,13
